station.number,block.number,latitude,longitude
200,1,46.53333333,-64.62388889
249,1,46.83333333,-64.86194444
6,2,47.1,-64.52861111
7,2,47.1,-64.48111111
8,2,47.1,-64.43361111
9,2,47.1,-64.38555556
10,2,47.1,-64.3375
11,2,47.1,-64.29
12,2,47.1,-64.24222222
13,2,47.1,-64.19472222
14,2,47.1,-64.14722222
15,2,47.1,-64.09972222
16,2,47.1,-64.05194444
17,2,47.1,-64.00416667
25,2,47.06666667,-64.43361111
26,2,47.06666667,-64.38555556
27,2,47.06666667,-64.3375
28,2,47.06666667,-64.29
29,2,47.06666667,-64.24222222
30,2,47.06666667,-64.19472222
31,2,47.06666667,-64.14722222
32,2,47.06666667,-64.09972222
33,2,47.06666667,-64.05194444
34,2,47.06666667,-64.00416667
40,2,47.03333333,-64.52861111
41,2,47.03333333,-64.48111111
42,2,47.03333333,-64.43361111
43,2,47.03333333,-64.38555556
44,2,47.03333333,-64.3375
45,2,47.03333333,-64.29
46,2,47.03333333,-64.24222222
47,2,47.03333333,-64.19472222
48,2,47.03333333,-64.14722222
49,2,47.03333333,-64.09972222
50,2,47.03333333,-64.05194444
56,2,47,-64.52861111
57,2,47,-64.48111111
58,2,47,-64.43361111
59,2,47,-64.38555556
60,2,47,-64.3375
61,2,47,-64.29
62,2,47,-64.24222222
63,2,47,-64.19472222
64,2,47,-64.14722222
65,2,47,-64.09972222
71,2,46.96666667,-64.52861111
72,2,46.96666667,-64.48111111
73,2,46.96666667,-64.43361111
74,2,46.96666667,-64.38555556
75,2,46.96666667,-64.3375
76,2,46.96666667,-64.29
77,2,46.96666667,-64.24222222
78,2,46.96666667,-64.19472222
85,2,46.93333333,-64.52861111
86,2,46.93333333,-64.48111111
87,2,46.93333333,-64.43361111
88,2,46.93333333,-64.38555556
89,2,46.93333333,-64.3375
90,2,46.93333333,-64.29
91,2,46.93333333,-64.24222222
98,2,46.9,-64.52861111
99,2,46.9,-64.48111111
100,2,46.9,-64.43361111
101,2,46.9,-64.38555556
102,2,46.9,-64.3375
103,2,46.9,-64.29
104,2,46.9,-64.24222222
112,2,46.86666667,-64.52861111
113,2,46.86666667,-64.48111111
114,2,46.86666667,-64.43361111
115,2,46.86666667,-64.38555556
116,2,46.86666667,-64.3375
117,2,46.86666667,-64.29
124,2,46.83333333,-64.52861111
125,2,46.83333333,-64.48111111
126,2,46.83333333,-64.43361111
127,2,46.83333333,-64.38555556
128,2,46.83333333,-64.3375
129,2,46.83333333,-64.29
136,2,46.8,-64.52861111
137,2,46.8,-64.48111111
138,2,46.8,-64.43361111
139,2,46.8,-64.38555556
140,2,46.8,-64.3375
146,2,46.76666667,-64.52861111
147,2,46.76666667,-64.48111111
148,2,46.76666667,-64.43361111
149,2,46.76666667,-64.38555556
154,2,46.73333333,-64.52861111
156,2,46.73333333,-64.48111111
157,2,46.73333333,-64.43361111
161,2,46.7,-64.52861111
162,2,46.7,-64.48111111
163,2,46.7,-64.43361111
166,2,46.66666667,-64.52861111
167,2,46.66666667,-64.48111111
168,2,46.66666667,-64.43361111
173,2,46.63333333,-64.48111111
174,2,46.63333333,-64.43361111
180,2,46.6,-64.48111111
181,2,46.6,-64.43361111
182,3,46.6,-64.38555556
183,3,46.6,-64.3375
184,3,46.6,-64.29
185,3,46.6,-64.24222222
186,3,46.6,-64.19472222
191,3,46.56666667,-64.48111111
192,3,46.56666667,-64.43361111
193,3,46.56666667,-64.38555556
194,3,46.56666667,-64.3375
195,3,46.56666667,-64.29
196,3,46.56666667,-64.24222222
197,3,46.56666667,-64.19472222
198,3,46.56666667,-64.14722222
201,3,46.53333333,-64.57611111
202,3,46.53333333,-64.52861111
203,3,46.53333333,-64.48111111
204,3,46.53333333,-64.43361111
205,3,46.53333333,-64.38555556
206,3,46.53333333,-64.3375
207,3,46.53333333,-64.29
208,3,46.53333333,-64.24222222
209,3,46.53333333,-64.19472222
210,3,46.53333333,-64.14722222
211,3,46.5,-64.57611111
212,3,46.5,-64.52861111
213,3,46.5,-64.48111111
214,3,46.5,-64.43361111
215,3,46.5,-64.38555556
216,3,46.5,-64.3375
217,3,46.5,-64.29
218,3,46.5,-64.24222222
219,3,46.5,-64.19472222
220,3,46.5,-64.14722222
221,3,46.46666667,-64.57611111
222,3,46.46666667,-64.52861111
223,3,46.46666667,-64.48111111
224,3,46.46666667,-64.43361111
225,3,46.46666667,-64.38555556
226,3,46.46666667,-64.3375
227,3,46.46666667,-64.29
228,3,46.46666667,-64.24222222
229,3,46.46666667,-64.19472222
230,3,46.46666667,-64.14722222
231,3,46.43333333,-64.52861111
232,3,46.43333333,-64.48111111
233,3,46.43333333,-64.43361111
234,3,46.43333333,-64.38555556
235,3,46.43333333,-64.3375
236,3,46.43333333,-64.29
237,3,46.43333333,-64.24222222
238,3,46.43333333,-64.19472222
239,3,46.43333333,-64.14722222
241,3,46.4,-64.48111111
242,3,46.4,-64.43361111
243,3,46.4,-64.38555556
244,3,46.4,-64.3375
245,3,46.4,-64.29
246,3,46.4,-64.24222222
247,3,46.4,-64.19472222
248,3,46.4,-64.14722222
250,3,46.36666667,-64.48111111
251,3,46.36666667,-64.43361111
252,3,46.36666667,-64.38555556
253,3,46.36666667,-64.3375
254,3,46.36666667,-64.29
255,3,46.36666667,-64.24222222
256,3,46.36666667,-64.19472222
257,3,46.36666667,-64.14722222
258,3,46.36666667,-64.09972222
259,3,46.36666667,-64.05194444
260,3,46.36666667,-64.00416667
261,3,46.36666667,-63.95611111
262,3,46.36666667,-63.90833333
265,3,46.33333333,-64.43361111
266,3,46.33333333,-64.38555556
267,3,46.33333333,-64.3375
268,3,46.33333333,-64.29
269,3,46.33333333,-64.24222222
270,3,46.33333333,-64.19472222
271,3,46.33333333,-64.14722222
272,3,46.33333333,-64.09972222
273,3,46.33333333,-64.05194444
274,3,46.33333333,-64.00416667
275,3,46.33333333,-63.95611111
276,3,46.33333333,-63.90833333
277,3,46.33333333,-63.86083333
278,3,46.3,-64.48111111
279,3,46.3,-64.43361111
280,3,46.3,-64.38555556
281,3,46.3,-64.3375
282,3,46.3,-64.29
283,3,46.3,-64.24222222
284,3,46.3,-64.19472222
285,3,46.3,-64.14722222
286,3,46.3,-64.09972222
287,3,46.3,-64.05194444
288,3,46.3,-64.00416667
289,3,46.3,-63.95611111
290,3,46.3,-63.90833333
291,3,46.3,-63.86083333
292,3,46.3,-63.81333333
293,3,46.3,-63.76583333
294,3,46.26666667,-64.43361111
295,3,46.26666667,-64.38555556
296,3,46.26666667,-64.3375
297,3,46.26666667,-64.29
298,3,46.26666667,-64.24222222
299,3,46.26666667,-64.19472222
300,3,46.26666667,-64.14722222
301,3,46.26666667,-64.09972222
302,3,46.26666667,-64.05194444
303,3,46.26666667,-64.00416667
304,3,46.26666667,-63.95611111
305,3,46.26666667,-63.90833333
306,3,46.26666667,-63.86083333
307,3,46.26666667,-63.81333333
308,3,46.26666667,-63.76583333
309,3,46.26666667,-63.7175
310,3,46.23333333,-64.14722222
311,3,46.23333333,-64.09972222
312,3,46.23333333,-64.05194444
313,3,46.23333333,-64.00416667
314,3,46.23333333,-63.95611111
315,3,46.23333333,-63.90833333
316,3,46.23333333,-63.86083333
317,3,46.23333333,-63.81333333
318,3,46.23333333,-63.76583333
319,3,46.23333333,-63.7175
320,3,46.23333333,-63.67027778
321,3,46.2,-63.90833333
322,3,46.2,-63.86083333
323,3,46.2,-63.81333333
324,3,46.2,-63.76583333
325,3,46.2,-63.7175
326,3,46.2,-63.67027778
327,3,46.2,-63.62277778
330,3,46.16666667,-63.7175
331,3,46.16666667,-63.67027778
338,3,46.13333333,-63.7175
 B-1,3,46.2,-64.05194444
 B-2,3,46.2,-63.95611111
329,3,46.16666667,-63.86083333
332,5,46.16666667,-63.62277778
333,5,46.16666667,-63.575
334,5,46.16666667,-63.5275
335,5,46.16666667,-63.48
336,5,46.16666667,-63.4325
339,5,46.13333333,-63.67027778
340,5,46.13333333,-63.62277778
341,5,46.13333333,-63.575
342,5,46.13333333,-63.5275
343,5,46.13333333,-63.48
344,5,46.13333333,-63.4325
345,5,46.13333333,-63.38444444
346,5,46.13333333,-63.33638889
347,5,46.13333333,-63.28916667
350,5,46.13333333,-63.09888889
355,5,46.1,-63.67027778
356,5,46.1,-63.62277778
357,5,46.1,-63.575
358,5,46.1,-63.5275
359,5,46.1,-63.48
360,5,46.1,-63.4325
361,5,46.1,-63.38444444
362,5,46.1,-63.33638889
363,5,46.1,-63.28916667
364,5,46.1,-63.24138889
365,5,46.1,-63.19388889
366,5,46.1,-63.14638889
367,5,46.1,-63.09888889
368,5,46.1,-63.05111111
369,5,46.1,-63.00361111
370,5,46.06666667,-63.81333333
371,5,46.06666667,-63.76583333
372,5,46.06666667,-63.7175
373,5,46.06666667,-63.67027778
374,5,46.06666667,-63.62277778
375,5,46.06666667,-63.575
376,5,46.06666667,-63.5275
377,5,46.06666667,-63.48
378,5,46.06666667,-63.4325
379,5,46.06666667,-63.38444444
380,5,46.06666667,-63.33638889
381,5,46.06666667,-63.28916667
382,5,46.06666667,-63.24138889
383,5,46.06666667,-63.19388889
384,5,46.06666667,-63.14638889
385,5,46.06666667,-63.09888889
387,5,46.03333333,-63.90833333
388,5,46.03333333,-63.86083333
389,5,46.03333333,-63.81333333
390,5,46.03333333,-63.76583333
391,5,46.03333333,-63.7175
392,5,46.03333333,-63.67027778
393,5,46.03333333,-63.62277778
394,5,46.03333333,-63.575
395,5,46.03333333,-63.5275
396,5,46.03333333,-63.48
397,5,46.03333333,-63.4325
398,5,46.03333333,-63.38444444
399,5,46.03333333,-63.33638889
400,5,46.03333333,-63.28916667
401,5,46.03333333,-63.24138889
402,5,46.03333333,-63.19388889
403,5,46.03333333,-63.14638889
404,5,46.03333333,-63.09888889
405,5,46.03333333,-63.05111111
408,5,46,-63.81333333
409,5,46,-63.76583333
410,5,46,-63.7175
411,5,46,-63.67027778
412,5,46,-63.62277778
413,5,46,-63.575
414,5,46,-63.5275
415,5,46,-63.48
416,5,46,-63.4325
417,5,46,-63.38444444
418,5,46,-63.33638889
419,5,46,-63.28916667
420,5,46,-63.24138889
421,5,46,-63.19388889
422,5,46,-63.14638889
423,5,46,-63.09888889
428,5,45.96666667,-63.81333333
429,5,45.96666667,-63.76583333
430,5,45.96666667,-63.7175
431,5,45.96666667,-63.67027778
432,5,45.96666667,-63.62277778
433,5,45.96666667,-63.575
434,5,45.96666667,-63.5275
435,5,45.96666667,-63.48
436,5,45.96666667,-63.4325
437,5,45.96666667,-63.38444444
438,5,45.96666667,-63.33638889
439,5,45.96666667,-63.28916667
440,5,45.96666667,-63.24138889
441,5,45.96666667,-63.19388889
442,5,45.96666667,-63.14638889
443,5,45.96666667,-63.09888889
444,5,45.96666667,-63.05111111
450,5,45.93333333,-63.76583333
451,5,45.93333333,-63.7175
452,5,45.93333333,-63.67027778
453,5,45.93333333,-63.62277778
454,5,45.93333333,-63.575
455,5,45.93333333,-63.5275
456,5,45.93333333,-63.48
457,5,45.93333333,-63.4325
458,5,45.93333333,-63.38444444
459,5,45.93333333,-63.33638889
460,5,45.93333333,-63.28916667
461,5,45.93333333,-63.24138889
462,5,45.93333333,-63.19388889
463,5,45.93333333,-63.14638889
464,5,45.93333333,-63.09888889
474,5,45.9,-63.575
475,5,45.9,-63.5275
476,5,45.9,-63.48
477,5,45.9,-63.4325
478,5,45.9,-63.38444444
479,5,45.9,-63.33638889
480,5,45.9,-63.28916667
481,5,45.9,-63.24138889
482,5,45.9,-63.19388889
483,5,45.9,-63.14638889
484,5,45.9,-63.09888889
492,5,45.86666667,-63.38444444
493,5,45.86666667,-63.33638889
494,5,45.86666667,-63.28916667
495,5,45.86666667,-63.24138889
496,5,45.86666667,-63.19388889
497,5,45.86666667,-63.14638889
506,5,45.83333333,-63.33638889
507,5,45.83333333,-63.28916667
508,5,45.83333333,-63.24138889
509,5,45.83333333,-63.19388889
510,5,45.83333333,-63.14638889
519,5,45.8,-63.19388889
406,6,46.03333333,-63.00361111
407,6,46.03333333,-62.95555556
424,6,46,-63.05111111
425,6,46,-63.00361111
426,6,46,-62.95555556
427,6,46,-62.90777778
445,6,45.96666667,-63.00361111
446,6,45.96666667,-62.95555556
447,6,45.96666667,-62.90777778
465,6,45.93333333,-63.05111111
466,6,45.93333333,-63.00361111
467,6,45.93333333,-62.95555556
468,6,45.93333333,-62.90777778
469,6,45.93333333,-62.86027778
470,6,45.93333333,-62.81277778
471,6,45.93333333,-62.76527778
485,6,45.9,-63.05111111
486,6,45.9,-63.00361111
487,6,45.9,-62.95555556
488,6,45.9,-62.90777778
489,6,45.9,-62.86027778
490,6,45.9,-62.81277778
491,6,45.9,-62.76527778
498,6,45.86666667,-63.09888889
499,6,45.86666667,-63.05111111
500,6,45.86666667,-63.00361111
501,6,45.86666667,-62.95555556
502,6,45.86666667,-62.90777778
503,6,45.86666667,-62.86027778
504,6,45.86666667,-62.81277778
505,6,45.86666667,-62.76527778
511,6,45.83333333,-63.09888889
512,6,45.83333333,-63.05111111
513,6,45.83333333,-63.00361111
514,6,45.83333333,-62.95555556
515,6,45.83333333,-62.90777778
516,6,45.83333333,-62.86027778
517,6,45.83333333,-62.81277778
518,6,45.83333333,-62.76527778
521,6,45.8,-62.95555556
522,6,45.8,-62.90777778
523,6,45.8,-62.86027778
524,6,45.8,-62.81277778
525,6,45.8,-62.76527778
849,6,45.96666667,-62.52694444
850,6,45.96666667,-62.47944444
851,6,45.96666667,-62.43194444
870,6,45.93333333,-62.7175
871,6,45.93333333,-62.66972222
872,6,45.93333333,-62.62222222
873,6,45.93333333,-62.57444444
874,6,45.93333333,-62.52694444
875,6,45.93333333,-62.47944444
876,6,45.93333333,-62.43194444
877,6,45.93333333,-62.38416667
895,6,45.9,-62.7175
896,6,45.9,-62.66972222
897,6,45.9,-62.62222222
898,6,45.9,-62.57444444
899,6,45.9,-62.52694444
900,6,45.9,-62.47944444
901,6,45.9,-62.43194444
902,6,45.9,-62.38416667
921,6,45.86666667,-62.7175
922,6,45.86666667,-62.66972222
923,6,45.86666667,-62.62222222
924,6,45.86666667,-62.57444444
925,6,45.86666667,-62.52694444
926,6,45.86666667,-62.47944444
927,6,45.86666667,-62.43194444
928,6,45.86666667,-62.38416667
929,6,45.86666667,-62.33638889
937,6,45.83333333,-62.7175
938,6,45.83333333,-62.66972222
939,6,45.83333333,-62.62222222
940,6,45.83333333,-62.47944444
941,6,45.83333333,-62.43194444
942,6,45.83333333,-62.38416667
943,6,45.83333333,-62.33638889
950,6,45.8,-62.7175
951,6,45.8,-62.66972222
952,6,45.8,-62.62222222
953,6,45.8,-62.57444444
954,6,45.8,-62.52694444
955,6,45.8,-62.47944444
956,6,45.8,-62.43194444
957,6,45.8,-62.38416667
958,6,45.8,-62.33638889
959,6,45.8,-62.28888889
964,6,45.76666667,-62.66972222
965,6,45.76666667,-62.62222222
966,6,45.76666667,-62.57444444
967,6,45.76666667,-62.52694444
968,6,45.76666667,-62.47944444
969,6,45.76666667,-62.43194444
970,6,45.76666667,-62.38416667
971,6,45.76666667,-62.33638889
972,6,45.76666667,-62.28888889
975,6,45.73333333,-62.62222222
976,6,45.73333333,-62.57444444
977,6,45.73333333,-62.52694444
978,6,45.73333333,-62.47944444
979,6,45.73333333,-62.43194444
980,6,45.73333333,-62.38416667
981,6,45.73333333,-62.33638889
982,6,45.73333333,-62.28888889
985,6,45.7,-62.57444444
986,6,45.7,-62.52694444
987,6,45.7,-62.47944444
988,6,45.7,-62.43194444
989,6,45.7,-62.38416667
990,6,45.7,-62.33638889
547,7,46.46666667,-61.9075
548,7,46.46666667,-61.85944444
549,7,46.46666667,-61.81138889
550,7,46.46666667,-61.76333333
551,7,46.46666667,-61.71527778
552,7,46.46666667,-61.66722222
553,7,46.46666667,-61.61944444
564,7,46.43333333,-61.95555556
565,7,46.43333333,-61.9075
566,7,46.43333333,-61.85944444
567,7,46.43333333,-61.81138889
568,7,46.43333333,-61.76333333
569,7,46.43333333,-61.71527778
570,7,46.43333333,-61.66722222
581,7,46.4,-62.05083333
582,7,46.4,-62.00333333
583,7,46.4,-61.95555556
584,7,46.4,-61.9075
585,7,46.4,-61.85944444
586,7,46.4,-61.81138889
587,7,46.4,-61.76333333
600,7,46.36666667,-62.09861111
601,7,46.36666667,-62.05083333
602,7,46.36666667,-62.00333333
603,7,46.36666667,-61.95555556
604,7,46.36666667,-61.9075
605,7,46.36666667,-61.85944444
606,7,46.36666667,-61.81138889
619,7,46.33333333,-62.28888889
620,7,46.33333333,-62.24111111
621,7,46.33333333,-62.19361111
622,7,46.33333333,-62.14611111
623,7,46.33333333,-62.09861111
624,7,46.33333333,-62.05083333
625,7,46.33333333,-62.00333333
626,7,46.33333333,-61.95555556
627,7,46.33333333,-61.9075
628,7,46.33333333,-61.85944444
642,7,46.3,-62.28888889
643,7,46.3,-62.24111111
644,7,46.3,-62.19361111
645,7,46.3,-62.14611111
646,7,46.3,-62.09861111
647,7,46.3,-62.05083333
648,7,46.3,-62.00333333
649,7,46.3,-61.95555556
650,7,46.3,-61.9075
665,7,46.26666667,-62.33638889
666,7,46.26666667,-62.28888889
667,7,46.26666667,-62.24111111
668,7,46.26666667,-62.19361111
669,7,46.26666667,-62.14611111
670,7,46.26666667,-62.09861111
671,7,46.26666667,-62.05083333
672,7,46.26666667,-62.00333333
673,7,46.26666667,-61.95555556
687,7,46.23333333,-62.38416667
688,7,46.23333333,-62.33638889
689,7,46.23333333,-62.28888889
690,7,46.23333333,-62.24111111
691,7,46.23333333,-62.19361111
692,7,46.23333333,-62.14611111
693,7,46.23333333,-62.09861111
694,7,46.23333333,-62.05083333
695,7,46.23333333,-62.00333333
709,7,46.2,-62.38416667
710,7,46.2,-62.33638889
711,7,46.2,-62.28888889
712,7,46.2,-62.24111111
713,7,46.2,-62.19361111
714,7,46.2,-62.14611111
715,7,46.2,-62.09861111
716,7,46.2,-62.05083333
717,7,46.2,-62.00333333
730,7,46.16666667,-62.43194444
731,7,46.16666667,-62.38416667
732,7,46.16666667,-62.33638889
733,7,46.16666667,-62.28888889
734,7,46.16666667,-62.24111111
735,7,46.16666667,-62.19361111
736,7,46.16666667,-62.14611111
737,7,46.16666667,-62.09861111
738,7,46.16666667,-62.05083333
739,7,46.16666667,-62.00333333
751,7,46.13333333,-62.43194444
752,7,46.13333333,-62.38416667
753,7,46.13333333,-62.33638889
754,7,46.13333333,-62.28888889
755,7,46.13333333,-62.24111111
756,7,46.13333333,-62.19361111
757,7,46.13333333,-62.14611111
758,7,46.13333333,-62.09861111
759,7,46.13333333,-62.05083333
773,7,46.1,-62.38416667
774,7,46.1,-62.33638889
775,7,46.1,-62.28888889
776,7,46.1,-62.24111111
777,7,46.1,-62.19361111
778,7,46.1,-62.14611111
779,7,46.1,-62.09861111
792,7,46.06666667,-62.43194444
793,7,46.06666667,-62.38416667
794,7,46.06666667,-62.33638889
795,7,46.06666667,-62.28888889
796,7,46.06666667,-62.24111111
797,7,46.06666667,-62.19361111
812,7,46.03333333,-62.43194444
813,7,46.03333333,-62.38416667
814,7,46.03333333,-62.33638889
815,7,46.03333333,-62.28888889
816,7,46.03333333,-62.24111111
831,7,46,-62.43194444
832,7,46,-62.38416667
833,7,46,-62.33638889
834,7,46,-62.28888889
852,7,45.96666667,-62.38416667
853,7,45.96666667,-62.33638889
854,7,45.96666667,-62.28888889
878,7,45.93333333,-62.33638889
845,8,46,-61.76333333
846,8,46,-61.71527778
847,8,46,-61.66722222
848,8,46,-61.61944444
864,8,45.96666667,-61.81138889
865,8,45.96666667,-61.76333333
866,8,45.96666667,-61.71527778
867,8,45.96666667,-61.66722222
868,8,45.96666667,-61.61944444
869,8,45.96666667,-61.57138889
889,8,45.93333333,-61.81138889
890,8,45.93333333,-61.76333333
891,8,45.93333333,-61.71527778
892,8,45.93333333,-61.66722222
893,8,45.93333333,-61.61944444
894,8,45.93333333,-61.57138889
913,8,45.9,-61.85944444
914,8,45.9,-61.81138889
915,8,45.9,-61.76333333
916,8,45.9,-61.71527778
917,8,45.9,-61.66722222
918,8,45.9,-61.61944444
919,8,45.9,-61.57138889
920,8,45.9,-61.52333333
993,8,45.86666667,-61.85944444
994,8,45.86666667,-61.81138889
995,8,45.86666667,-61.76333333
996,8,45.86666667,-61.71527778
997,8,45.86666667,-61.66722222
998,8,45.86666667,-61.61944444
999,8,45.86666667,-61.57138889
1000,8,45.86666667,-61.52333333
1002,8,45.83333333,-61.85944444
1003,8,45.83333333,-61.81138889
1004,8,45.83333333,-61.76333333
1005,8,45.83333333,-61.71527778
1006,8,45.83333333,-61.66722222
1007,8,45.83333333,-61.61944444
1008,8,45.83333333,-61.57138889
1009,8,45.83333333,-61.52333333
1010,8,45.8,-61.85944444
1011,8,45.8,-61.81138889
1012,8,45.8,-61.76333333
1013,8,45.8,-61.71527778
1014,8,45.8,-61.66722222
1015,8,45.8,-61.61944444
1016,8,45.8,-61.57138889
1017,8,45.8,-61.52333333
1018,8,45.76666667,-61.85944444
1019,8,45.76666667,-61.81138889
1020,8,45.76666667,-61.76333333
1021,8,45.76666667,-61.71527778
1022,8,45.76666667,-61.66722222
1023,8,45.76666667,-61.61944444
1024,8,45.76666667,-61.57138889
1025,8,45.76666667,-61.52333333
1026,8,45.73333333,-61.85944444
1027,8,45.73333333,-61.81138889
1028,8,45.73333333,-61.76333333
1029,8,45.73333333,-61.71527778
1030,8,45.73333333,-61.66722222
1031,8,45.73333333,-61.61944444
1032,8,45.73333333,-61.57138889
1033,8,45.73333333,-61.52333333
1034,8,45.73333333,-61.475
1035,8,45.7,-61.85944444
1036,8,45.7,-61.81138889
1037,8,45.7,-61.76333333
1038,8,45.7,-61.71527778
1039,8,45.7,-61.66722222
1040,8,45.7,-61.61944444
1042,8,45.7,-61.475
1043,8,45.66666667,-61.76333333
1044,8,45.66666667,-61.71527778
1045,8,45.66666667,-61.66722222
1046,8,45.66666667,-61.61944444
558,9,46.46666667,-61.37944444
559,9,46.46666667,-61.33138889
560,9,46.46666667,-61.28361111
561,9,46.46666667,-61.23555556
562,9,46.46666667,-61.1875
563,9,46.46666667,-61.13972222
576,9,46.43333333,-61.37944444
577,9,46.43333333,-61.33138889
578,9,46.43333333,-61.28361111
579,9,46.43333333,-61.23555556
580,9,46.43333333,-61.1875
594,9,46.4,-61.42722222
595,9,46.4,-61.37944444
596,9,46.4,-61.33138889
597,9,46.4,-61.28361111
598,9,46.4,-61.23555556
599,9,46.4,-61.1875
614,9,46.36666667,-61.42722222
615,9,46.36666667,-61.37944444
616,9,46.36666667,-61.33138889
617,9,46.36666667,-61.28361111
618,9,46.36666667,-61.23555556
636,9,46.33333333,-61.475
637,9,46.33333333,-61.42722222
638,9,46.33333333,-61.37944444
639,9,46.33333333,-61.33138889
640,9,46.33333333,-61.28361111
641,9,46.33333333,-61.23555556
659,9,46.3,-61.52333333
660,9,46.3,-61.475
661,9,46.3,-61.42722222
662,9,46.3,-61.37944444
663,9,46.3,-61.33138889
664,9,46.3,-61.28361111
682,9,46.26666667,-61.52333333
683,9,46.26666667,-61.475
684,9,46.26666667,-61.42722222
685,9,46.26666667,-61.37944444
686,9,46.26666667,-61.33138889
705,9,46.23333333,-61.52333333
706,9,46.23333333,-61.475
707,9,46.23333333,-61.42722222
708,9,46.23333333,-61.37944444
726,9,46.2,-61.57138889
727,9,46.2,-61.52333333
728,9,46.2,-61.475
729,9,46.2,-61.42722222
747,9,46.16666667,-61.61944444
748,9,46.16666667,-61.57138889
749,9,46.16666667,-61.52333333
750,9,46.16666667,-61.475
768,9,46.13333333,-61.61944444
769,9,46.13333333,-61.57138889
770,9,46.13333333,-61.52333333
771,9,46.13333333,-61.475
788,9,46.1,-61.66722222
789,9,46.1,-61.61944444
790,9,46.1,-61.57138889
791,9,46.1,-61.52333333
808,9,46.06666667,-61.66722222
809,9,46.06666667,-61.61944444
810,9,46.06666667,-61.57138889
811,9,46.06666667,-61.52333333
827,9,46.03333333,-61.71527778
828,9,46.03333333,-61.66722222
829,9,46.03333333,-61.61944444
554,10,46.46666667,-61.57138889
555,10,46.46666667,-61.52333333
556,10,46.46666667,-61.475
557,10,46.46666667,-61.42722222
571,10,46.43333333,-61.61944444
572,10,46.43333333,-61.57138889
573,10,46.43333333,-61.52333333
574,10,46.43333333,-61.475
575,10,46.43333333,-61.42722222
588,10,46.4,-61.71527778
589,10,46.4,-61.66722222
590,10,46.4,-61.61944444
591,10,46.4,-61.57138889
592,10,46.4,-61.52333333
593,10,46.4,-61.475
607,10,46.36666667,-61.76333333
608,10,46.36666667,-61.71527778
609,10,46.36666667,-61.66722222
610,10,46.36666667,-61.61944444
611,10,46.36666667,-61.57138889
612,10,46.36666667,-61.52333333
613,10,46.36666667,-61.475
629,10,46.33333333,-61.81138889
630,10,46.33333333,-61.76333333
631,10,46.33333333,-61.71527778
632,10,46.33333333,-61.66722222
633,10,46.33333333,-61.61944444
634,10,46.33333333,-61.57138889
635,10,46.33333333,-61.52333333
651,10,46.3,-61.85944444
652,10,46.3,-61.81138889
653,10,46.3,-61.76333333
654,10,46.3,-61.71527778
656,10,46.3,-61.66722222
657,10,46.3,-61.61944444
658,10,46.3,-61.57138889
674,10,46.26666667,-61.9075
675,10,46.26666667,-61.85944444
