stratum,major,minor,longitude,latitude,station
401,12,2,-62.58333333,46.51666667,107
401,12,3,-62.56666667,46.48333333,108
401,12,4,-62.55,46.51666667,109
401,12,5,-62.51666667,46.51666667,110
401,12,6,-62.48333333,46.51666667,111
401,12,7,-62.46666667,46.51666667,112
401,12,8,-62.43333333,46.51666667,113
401,12,9,-62.4,46.51666667,114
401,12,10,-62.36666667,46.51666667,115
401,13,1,-62.33333333,46.51666667,116
401,13,2,-62.3,46.51666667,117
401,13,3,-62.26666667,46.51666667,118
401,13,4,-62.23333333,46.53333333,119
401,13,5,-62.23333333,46.5,120
401,13,6,-62.18333333,46.53333333,121
401,13,7,-62.18333333,46.5,122
401,13,8,-62.13333333,46.53333333,123
401,13,9,-62.13333333,46.5,124
401,13,10,-62.08333333,46.53333333,125
401,14,1,-62.08333333,46.5,126
401,14,2,-62.03333333,46.53333333,127
401,14,3,-62.05,46.5,128
401,14,4,-62,46.5,129
401,14,5,-61.96666667,46.48333333,130
402,1,1,-63.6,46.1,131
402,1,2,-63.55,46.11666667,132
402,1,3,-63.53333333,46.11666667,133
402,1,4,-63.5,46.11666667,134
402,1,5,-63.63333333,46.06666667,135
402,1,6,-63.6,46.08333333,136
402,1,7,-63.6,46.06666667,137
402,1,8,-63.63333333,46.03333333,138
402,1,9,-63.6,46.03333333,139
402,1,10,-63.56666667,46.08333333,140
402,2,1,-63.53333333,46.08333333,141
402,2,2,-63.5,46.08333333,142
402,2,3,-63.46666667,46.08333333,143
402,2,4,-63.56666667,46.05,144
402,2,5,-63.53333333,46.05,145
402,2,6,-63.5,46.05,146
402,2,7,-63.46666667,46.05,147
402,2,8,-63.46666667,46.11666667,148
402,2,9,-63.43333333,46.13333333,149
402,2,10,-63.4,46.13333333,150
402,3,1,-63.36666667,46.11666667,151
402,3,2,-63.43333333,46.1,152
402,3,3,-63.4,46.1,153
402,3,4,-63.36666667,46.08333333,154
402,3,5,-63.43333333,46.06666667,155
402,3,6,-63.4,46.06666667,156
402,3,7,-63.36666667,46.05,157
402,3,8,-63.33333333,46.11666667,158
402,3,9,-63.31666667,46.11666667,159
402,3,10,-63.28333333,46.08333333,160
402,4,1,-63.33333333,46.06666667,161
402,4,2,-63.31666667,46.06666667,162
402,4,3,-63.25,46.06666667,163
402,4,4,-63.21666667,46.06666667,164
402,4,5,-63.2,46.06666667,165
402,4,6,-63.16666667,46.06666667,166
402,4,7,-63.11666667,46.1,167
402,4,8,-63.13333333,46.06666667,168
402,4,9,-63.08333333,46.06666667,169
402,4,10,-63.6,46.01666667,170
402,5,1,-63.56666667,46.03333333,171
402,5,2,-63.53333333,46.01666667,172
402,5,3,-63.5,46.01666667,173
402,5,4,-63.46666667,46.01666667,174
402,5,5,-63.43333333,46.03333333,175
402,5,6,-63.4,46.03333333,176
402,5,7,-63.36666667,46.01666667,177
402,5,8,-63.35,46.05,178
402,5,9,-63.35,46,179
402,5,10,-63.31666667,46.05,180
402,6,1,-63.31666667,46,181
402,6,2,-63.28333333,46.06666667,182
402,6,3,-63.28333333,46.01666667,183
402,6,4,-63.26666667,46.05,184
402,6,5,-63.23333333,46.03333333,185
402,6,6,-63.2,46.03333333,186
402,6,7,-63.16666667,46.03333333,187
402,6,8,-63.68333333,45.98333333,188
402,6,9,-63.76666667,45.96666667,189
402,6,10,-63.71666667,45.96666667,190
402,7,1,-63.65,45.98333333,191
402,7,2,-63.66666667,45.95,192
402,7,3,-63.63333333,45.98333333,193
402,7,4,-63.63333333,45.95,194
402,7,5,-63.6,45.98333333,195
402,7,6,-63.56666667,45.98333333,196
402,7,7,-63.53333333,45.98333333,197
402,7,8,-63.5,45.98333333,198
402,7,9,-63.46666667,45.98333333,199
402,7,10,-63.43333333,45.98333333,200
402,8,1,-63.41666667,45.98333333,201
402,8,2,-63.38333333,45.98333333,202
402,8,3,-63.35,45.96666667,203
402,8,4,-63.31666667,45.96666667,204
402,8,5,-63.28333333,45.98333333,205
402,8,6,-63.26666667,46.01666667,206
402,8,7,-63.21666667,46,207
402,8,8,-63.16666667,46,208
402,8,9,-63.11666667,45.98333333,209
402,8,10,-63.65,45.93333333,210
402,9,1,-63.56666667,45.95,211
402,9,2,-63.6,45.93333333,212
402,9,3,-63.53333333,45.95,213
402,9,4,-63.56666667,45.93333333,214
402,9,5,-63.5,45.95,215
402,9,6,-63.51666667,45.91666667,216
402,9,7,-63.46666667,45.95,217
402,9,8,-63.46666667,45.91666667,218
402,9,9,-63.43333333,45.95,219
402,9,10,-63.41666667,45.95,220
402,10,1,-63.38333333,45.95,221
402,10,2,-63.35,45.93333333,222
402,10,3,-63.33333333,45.93333333,223
402,10,4,-63.3,45.95,224
402,10,5,-63.26666667,45.96666667,225
402,10,6,-63.21666667,45.98333333,226
402,10,7,-63.16666667,45.98333333,227
402,10,8,-63.43333333,45.91666667,228
402,10,9,-63.41666667,45.91666667,229
402,10,10,-63.43333333,45.9,230
402,11,1,-63.38333333,45.91666667,231
402,11,2,-63.38333333,45.88333333,232
402,11,3,-63.35,45.9,233
402,11,4,-63.33333333,45.9,234
402,11,5,-63.3,45.91666667,235
402,11,6,-63.26666667,45.93333333,236
402,11,7,-63.2,45.91666667,237
402,11,8,-63.15,45.9,238
402,11,9,-63.11666667,45.88333333,239
402,11,10,-63.06666667,45.86666667,240
402,11,11,-63.15,45.86666667,241
402,12,1,-63.06666667,45.85,242
402,12,2,-63.03333333,45.85,243
402,12,3,-62.98333333,45.85,244
402,12,4,-63.03333333,45.81666667,245
402,12,5,-62.96666667,45.81666667,246
402,12,6,-62.9,45.8,247
402,12,7,-63.35,45.86666667,248
402,12,8,-63.31666667,45.86666667,249
402,12,9,-63.33333333,45.83333333,250
402,12,10,-63.3,45.88333333,251
402,12,11,-63.11666667,45.86666667,252
402,13,1,-63.25,45.9,253
402,13,2,-63.25,45.88333333,254
402,13,3,-63.2,45.9,255
402,13,4,-63.3,45.85,256
402,13,5,-63.25,45.86666667,257
402,13,6,-63.26666667,45.83333333,258
402,13,7,-63.21666667,45.86666667,259
402,13,8,-63.23333333,45.83333333,260
402,13,9,-63.2,45.83333333,261
402,13,10,-63.18333333,45.86666667,262
402,13,11,-63.16666667,45.83333333,263
403,1,1,-61.86666667,45.9,264
403,1,2,-61.86666667,45.86666667,265
403,1,3,-61.88333333,45.85,266
403,1,4,-61.86666667,45.85,267
403,1,5,-61.86666667,45.81666667,268
403,1,6,-61.86666667,45.78333333,269
403,1,7,-61.86666667,45.76666667,270
403,1,8,-61.83333333,45.88333333,271
403,1,9,-61.83333333,45.85,272
403,2,1,-61.83333333,45.81666667,273
403,2,2,-61.83333333,45.78333333,274
403,2,3,-61.78333333,45.88333333,275
403,2,4,-61.78333333,45.86666667,276
403,2,5,-61.78333333,45.83333333,277
403,2,6,-61.78333333,45.81666667,278
403,2,7,-61.78333333,45.8,279
403,2,8,-61.8,45.76666667,280
403,2,9,-61.78333333,45.75,281
403,2,10,-61.78333333,45.73333333,282
403,3,1,-61.8,45.7,283
403,3,2,-61.76666667,45.68333333,284
403,3,3,-61.75,45.86666667,285
403,3,4,-61.75,45.83333333,286
403,3,5,-61.75,45.8,287
403,3,6,-61.71666667,45.86666667,288
403,3,7,-61.71666667,45.83333333,289
403,3,8,-61.71666667,45.8,290
403,3,9,-61.71666667,45.76666667,291
403,3,10,-61.71666667,45.73333333,292
403,4,1,-61.7,45.7,293
403,4,2,-61.68333333,45.9,294
403,4,3,-61.68333333,45.86666667,295
403,4,4,-61.68333333,45.83333333,296
403,4,5,-61.68333333,45.8,297
403,4,6,-61.68333333,45.76666667,298
403,4,7,-61.68333333,45.73333333,299
403,4,8,-61.63333333,45.95,300
403,4,9,-61.63333333,45.93333333,301
403,4,10,-61.63333333,45.91666667,302
403,5,1,-61.63333333,45.9,303
403,5,2,-61.63333333,45.86666667,304
403,5,3,-61.63333333,45.85,305
403,5,4,-61.63333333,45.83333333,306
403,5,5,-61.63333333,45.81666667,307
403,5,6,-61.63333333,45.78333333,308
403,5,7,-61.63333333,45.76666667,309
403,5,8,-61.63333333,45.75,310
403,5,9,-61.63333333,45.73333333,311
403,5,10,-61.63333333,45.7,312
403,5,11,-61.6,45.73333333,313
403,6,1,-61.6,45.95,314
403,6,2,-61.6,45.91666667,315
403,6,3,-61.56666667,45.91666667,316
403,6,4,-61.6,45.88333333,317
403,6,5,-61.6,45.83333333,318
403,6,6,-61.6,45.81666667,319
403,6,7,-61.6,45.76666667,320
403,6,8,-61.56666667,45.76666667,321
403,6,9,-61.6,45.75,322
403,6,10,-61.55,45.75,323
403,6,11,-61.63333333,45.68333333,324
415,1,1,-64.29166667,49.03111111,325
415,1,2,-64.25583333,49.05027778,326
415,1,3,-64.26083333,49.01916667,327
415,1,4,-64.23138889,48.97972222,328
415,1,5,-64.2275,49.01583333,329
415,1,6,-64.22361111,49.05472222,330
415,1,7,-64.19166667,49.08666667,331
415,1,8,-64.19416667,49.05388889,332
415,1,9,-64.19666667,49.01916667,333
415,1,10,-64.19305556,48.97194444,334
415,2,1,-64.03166667,49.16916667,335
415,2,2,-64.00083333,49.17,336
415,2,3,-64.02388889,49.14222222,337
415,2,4,-64.05583333,49.13972222,338
415,2,5,-64.10083333,49.13472222,339
415,2,6,-64.15472222,49.09611111,340
415,2,7,-64.12388889,49.10027778,341
415,2,8,-64.09055556,49.09666667,342
415,2,9,-64.05972222,49.0975,343
415,2,10,-64.02527778,49.09611111,344
415,3,1,-64.15583333,49.05472222,345
415,3,2,-64.12638889,49.05472222,346
415,3,3,-64.09055556,49.05305556,347
415,3,4,-64.05861111,49.05472222,348
415,3,5,-64.02638889,49.05388889,349
415,3,6,-64.02388889,49.01583333,350
415,3,7,-64.05861111,49.01583333,351
415,3,8,-64.09166667,49.015,352
415,3,9,-64.125,49.015,353
415,3,10,-64.15722222,49.015,354
415,4,1,-64.0225,48.97027778,355
415,4,2,-64.05722222,48.97111111,356
415,4,3,-64.09555556,48.97194444,357
415,4,4,-64.12138889,48.97277778,358
415,4,5,-64.16222222,48.97444444,359
415,4,6,-64.12888889,48.93638889,360
415,4,7,-64.08666667,48.93138889,361
415,4,8,-64.05583333,48.93138889,362
415,4,9,-64.02138889,48.93305556,363
415,4,10,-64.07138889,48.8925,364
415,5,1,-63.98805556,48.92888889,365
415,5,2,-63.95611111,48.92722222,366
415,5,3,-63.92777778,48.92972222,367
415,5,4,-63.92527778,48.89083333,368
415,5,5,-63.95472222,48.88916667,369
415,5,6,-63.98916667,48.88666667,370
415,5,7,-64.0225,48.88666667,371
415,5,8,-64.03166667,48.85611111,372
415,5,9,-63.98555556,48.85361111,373
415,5,10,-63.96111111,48.85527778,374
415,6,1,-63.98805556,49.0125,375
415,6,2,-63.96111111,49.01333333,376
415,6,3,-63.92527778,49.01333333,377
415,6,4,-63.89333333,49.015,378
415,6,5,-63.86,49.015,379
415,6,6,-63.86,48.97111111,380
415,6,7,-63.89194444,48.97444444,381
415,6,8,-63.92666667,48.97194444,382
415,6,9,-63.95722222,48.97111111,383
415,6,10,-63.98916667,48.97277778,384
415,7,1,-63.98666667,49.13472222,385
415,7,2,-63.94972222,49.13305556,386
415,7,3,-63.89444444,49.09333333,387
415,7,4,-63.92138889,49.095,388
415,7,5,-63.95722222,49.095,389
415,7,6,-63.98555556,49.09666667,390
415,7,7,-63.99055556,49.05638889,391
415,7,8,-63.95611111,49.05388889,392
415,7,9,-63.92666667,49.05472222,393
415,7,10,-63.89194444,49.05472222,394
415,8,1,-63.86,49.06555556,395
415,8,2,-63.82777778,49.05888889,396
415,8,3,-63.79472222,49.05222222,397
415,8,4,-63.76138889,49.04972222,398
415,8,5,-63.72416667,49.04722222,399
415,8,6,-63.69972222,49.0175,400
415,8,7,-63.72916667,49.01666667,401
415,8,8,-63.76138889,49.0175,402
415,8,9,-63.79333333,49.01666667,403
415,8,10,-63.82666667,49.01833333,404
415,9,1,-63.82666667,48.97194444,405
415,9,2,-63.79472222,48.97444444,406
415,9,3,-63.7625,48.97444444,407
415,9,4,-63.72916667,48.97444444,408
415,9,5,-63.72527778,48.93222222,409
415,9,6,-63.75888889,48.92888889,410
415,9,7,-63.79722222,48.92805556,411
415,9,8,-63.80111111,48.88916667,412
415,9,9,-63.7625,48.89166667,413
415,9,10,-63.72666667,48.89083333,414
415,10,1,-63.89083333,48.93222222,415
415,10,2,-63.8625,48.93055556,416
415,10,3,-63.82666667,48.92972222,417
415,10,4,-63.82416667,48.8875,418
415,10,5,-63.8575,48.88916667,419
415,10,6,-63.89083333,48.89083333,420
415,10,7,-63.93166667,48.85527778,421
415,10,8,-63.89333333,48.85111111,422
415,10,9,-63.86,48.85611111,423
415,10,10,-63.82777778,48.85277778,424
415,11,1,-63.84083333,48.81638889,425
415,11,2,-63.79722222,48.81305556,426
415,11,3,-63.79472222,48.85027778,427
415,11,4,-63.76138889,48.85111111,428
415,11,5,-63.76138889,48.81305556,429
415,11,6,-63.72916667,48.80861111,430
415,11,7,-63.73055556,48.85361111,431
415,11,8,-63.69722222,48.84777778,432
415,11,9,-63.69611111,48.80611111,433
415,11,10,-63.66388889,48.80444444,434
415,12,1,-63.66388889,49.015,435
415,12,2,-63.66388889,48.97277778,436
415,12,3,-63.69861111,48.97194444,437
415,12,4,-63.69611111,48.92972222,438
415,12,5,-63.66388889,48.93305556,439
415,12,6,-63.69861111,48.89166667,440
415,12,7,-63.66388889,48.8925,441
415,12,8,-63.63083333,48.89166667,442
415,12,9,-63.59472222,48.89166667,443
415,12,10,-63.56277778,48.89083333,444
415,13,1,-63.63194444,49.0025,445
415,13,2,-63.62805556,48.97527778,446
415,13,3,-63.59361111,48.97194444,447
415,13,4,-63.55,48.96611111,448
415,13,5,-63.63583333,48.93388889,449
415,13,6,-63.59611111,48.93138889,450
415,13,7,-63.56388889,48.93305556,451
415,13,8,-63.52944444,48.92972222,452
415,13,9,-63.52944444,48.89166667,453
415,13,10,-63.53083333,48.85194444,454
415,14,1,-63.605,48.78,455
415,14,2,-63.54861111,48.77916667,456
415,14,3,-63.52944444,48.80861111,457
415,14,4,-63.55888889,48.80694444,458
415,14,5,-63.59361111,48.80694444,459
415,14,6,-63.62944444,48.80611111,460
415,14,7,-63.66388889,48.85111111,461
415,14,8,-63.63194444,48.85277778,462
415,14,9,-63.59611111,48.85111111,463
415,14,10,-63.56277778,48.84944444,464
415,15,1,-63.5,48.77472222,465
415,15,2,-63.46277778,48.77138889,466
415,15,3,-63.43222222,48.77305556,467
415,15,4,-63.3975,48.77055556,468
415,15,5,-63.36277778,48.77138889,469
415,15,6,-63.395,48.73916667,470
415,15,7,-63.36416667,48.73,471
415,15,8,-63.36666667,48.69583333,472
415,15,9,-63.35388889,48.65,473
415,15,10,-63.27583333,48.65,474
415,16,1,-63.49861111,48.84666667,475
415,16,2,-63.46527778,48.85027778,476
415,16,3,-63.43222222,48.85027778,477
415,16,4,-63.39888889,48.85027778,478
415,16,5,-63.36666667,48.84944444,479
415,16,6,-63.36277778,48.81027778,480
415,16,7,-63.39888889,48.80861111,481
415,16,8,-63.42833333,48.80777778,482
415,16,9,-63.46666667,48.80611111,483
415,16,10,-63.5,48.80694444,484
415,17,1,-63.49611111,48.92722222,485
415,17,2,-63.46666667,48.92972222,486
415,17,3,-63.43083333,48.92805556,487
415,17,4,-63.3975,48.93222222,488
415,17,5,-63.36666667,48.93222222,489
415,17,6,-63.36277778,48.89166667,490
415,17,7,-63.39611111,48.89083333,491
415,17,8,-63.42833333,48.89083333,492
415,17,9,-63.46666667,48.88833333,493
415,17,10,-63.495,48.88833333,494
415,18,1,-63.20138889,48.88416667,495
415,18,2,-63.23222222,48.89166667,496
415,18,3,-63.26305556,48.89083333,497
415,18,4,-63.28472222,48.92388889,498
415,18,5,-63.29388889,48.89083333,499
415,18,6,-63.33472222,48.88833333,500
415,18,7,-63.33222222,48.92722222,501
415,19,1,-63.33222222,48.80972222,502
415,19,2,-63.29388889,48.80694444,503
415,19,3,-63.26416667,48.81027778,504
415,19,4,-63.23361111,48.80527778,505
415,19,5,-63.20138889,48.80694444,506
415,19,6,-63.19388889,48.85361111,507
415,19,7,-63.23222222,48.85444444,508
415,19,8,-63.26305556,48.85277778,509
415,19,9,-63.29388889,48.85194444,510
415,19,10,-63.32722222,48.85111111,511
415,20,1,-63.32833333,48.72722222,512
415,20,2,-63.29388889,48.73166667,513
415,20,3,-63.26416667,48.73083333,514
415,20,4,-63.23472222,48.73083333,515
415,20,5,-63.19777778,48.73083333,516
415,20,6,-63.19638889,48.76805556,517
415,20,7,-63.23111111,48.76805556,518
415,20,8,-63.26416667,48.76888889,519
415,20,9,-63.295,48.76972222,520
415,20,10,-63.33361111,48.76972222,521
415,21,1,-63.33083333,48.6875,522
415,21,2,-63.295,48.6875,523
415,21,3,-63.26694444,48.68833333,524
415,21,4,-63.23472222,48.69,525
415,21,5,-63.19888889,48.69166667,526
415,21,6,-63.23361111,48.64416667,527
415,21,7,-63.195,48.645,528
415,21,8,-63.23222222,48.60833333,529
415,21,9,-63.19388889,48.6025,530
415,21,10,-63.17472222,48.56666667,531
415,22,1,-63.16444444,48.84,532
415,22,2,-63.15527778,48.80861111,533
415,22,3,-63.15666667,48.76472222,534
415,22,4,-63.15805556,48.72722222,535
415,22,5,-63.15666667,48.68833333,536
415,22,6,-63.12333333,48.68583333,537
415,22,7,-63.12083333,48.72555556,538
415,22,8,-63.12472222,48.76555556,539
415,22,9,-63.09277778,48.72833333,540
415,22,10,-63.06444444,48.72055556,541
415,23,1,-63.10666667,48.6075,542
415,23,2,-63.16305556,48.60083333,543
415,23,3,-63.15805556,48.64416667,544
415,23,4,-63.12222222,48.6425,545
415,23,5,-63.0875,48.64416667,546
415,23,6,-63.05416667,48.645,547
415,23,7,-63.02611111,48.65861111,548
415,23,8,-63.02361111,48.67972222,549
415,23,9,-63.05555556,48.68583333,550
415,23,10,-63.08888889,48.68833333,551
416,1,1,-63.7625,47.92583333,552
416,1,2,-63.75333333,47.97666667,553
416,1,3,-63.80833333,47.98277778,554
416,1,4,-63.85083333,48.00166667,555
416,1,5,-63.86722222,48.04138889,556
416,1,6,-63.82388889,48.01555556,557
416,1,7,-63.825,48.05416667,558
416,1,8,-63.80972222,48.09111111,559
416,1,9,-63.79444444,48.05583333,560
416,1,10,-63.79305556,48.01722222,561
416,2,1,-63.75722222,48.05583333,562
416,2,2,-63.72916667,48.055,563
416,2,3,-63.74444444,48.08777778,564
416,2,4,-63.65361111,48.10055556,565
416,2,5,-63.65611111,48.13833333,566
416,2,6,-63.68944444,48.14,567
416,2,7,-63.71888889,48.14694444,568
416,2,8,-63.75972222,48.18722222,569
416,2,9,-63.79555556,48.18833333,570
416,2,10,-63.7625,48.21305556,571
416,3,1,-63.49111111,48.08611111,572
416,3,2,-63.48722222,48.06277778,573
416,3,3,-63.51777778,48.06194444,574
416,3,4,-63.55638889,48.0575,575
416,3,5,-63.58694444,48.05583333,576
416,3,6,-63.61888889,48.05416667,577
416,3,7,-63.66,48.05333333,578
416,3,8,-63.69194444,48.0525,579
416,3,9,-63.7175,48.02666667,580
416,3,10,-63.75611111,48.01722222,581
416,4,1,-63.62916667,48.11444444,582
416,4,2,-63.62666667,48.14777778,583
416,4,3,-63.58833333,48.15555556,584
416,4,4,-63.5575,48.15027778,585
416,4,5,-63.52305556,48.14777778,586
416,4,6,-63.48972222,48.18305556,587
416,4,7,-63.52166667,48.18388889,588
416,4,8,-63.55638889,48.18472222,589
416,4,9,-63.58833333,48.18472222,590
416,4,10,-63.62527778,48.18472222,591
416,5,1,-63.6575,48.18722222,592
416,5,2,-63.68805556,48.18638889,593
416,5,3,-63.72777778,48.18722222,594
416,5,4,-63.72527778,48.2225,595
416,5,5,-63.69194444,48.2275,596
416,5,6,-63.655,48.225,597
416,5,7,-63.62666667,48.22583333,598
416,5,8,-63.59222222,48.22333333,599
416,5,9,-63.56027778,48.225,600
416,5,10,-63.52166667,48.22583333,601
416,6,1,-63.41944444,48.13666667,602
416,6,2,-63.39638889,48.18555556,603
416,6,3,-63.32861111,48.22583333,604
416,6,4,-63.35777778,48.225,605
416,6,5,-63.39111111,48.22916667,606
416,6,6,-63.46027778,48.23527778,607
416,6,7,-63.49361111,48.2275,608
416,6,8,-63.45888889,48.26777778,609
416,6,9,-63.42444444,48.26694444,610
416,6,10,-63.395,48.26527778,611
416,7,1,-63.66,48.25166667,612
416,7,2,-63.59083333,48.27027778,613
416,7,3,-63.5575,48.26694444,614
416,7,4,-63.52166667,48.26611111,615
416,7,5,-63.49111111,48.26777778,616
416,7,6,-63.45888889,48.30972222,617
416,7,7,-63.49361111,48.31083333,618
416,7,8,-63.52416667,48.30888889,619
416,7,9,-63.5575,48.30972222,620
416,7,10,-63.59861111,48.29944444,621
416,8,1,-63.46166667,48.39194444,622
416,8,2,-63.42833333,48.39111111,623
416,8,3,-63.39111111,48.39111111,624
416,8,4,-63.35777778,48.39444444,625
416,8,5,-63.3975,48.36444444,626
416,8,6,-63.43083333,48.35333333,627
416,8,7,-63.45888889,48.35083333,628
416,8,8,-63.49222222,48.3525,629
416,8,9,-63.52694444,48.35166667,630
416,8,10,-63.5575,48.34583333,631
416,9,1,-63.49361111,48.39444444,632
416,9,2,-63.49361111,48.43027778,633
416,9,3,-63.46277778,48.43472222,634
416,9,4,-63.42972222,48.43527778,635
416,9,5,-63.39388889,48.43361111,636
416,9,6,-63.36055556,48.43361111,637
416,9,7,-63.32972222,48.43638889,638
416,9,8,-63.29527778,48.44305556,639
416,9,9,-63.29277778,48.47638889,640
416,9,10,-63.32583333,48.47638889,641
416,10,1,-63.66,48.43472222,642
416,10,2,-63.62666667,48.43722222,643
416,10,3,-63.58833333,48.43527778,644
416,10,4,-63.56277778,48.43638889,645
416,10,5,-63.52833333,48.43722222,646
416,10,6,-63.52305556,48.39277778,647
416,10,7,-63.56277778,48.39111111,648
416,10,8,-63.58972222,48.39444444,649
416,10,9,-63.62277778,48.39277778,650
416,10,10,-63.65861111,48.39111111,651
416,11,1,-63.72,48.34055556,652
416,11,2,-63.69833333,48.35666667,653
416,11,3,-63.69083333,48.39111111,654
416,11,4,-63.72527778,48.39277778,655
416,11,5,-63.72527778,48.43277778,656
416,11,6,-63.69194444,48.43722222,657
416,11,7,-63.69194444,48.48055556,658
416,11,8,-63.72638889,48.47805556,659
416,11,9,-63.72777778,48.51722222,660
416,11,10,-63.69194444,48.52083333,661
416,12,1,-63.82388889,48.47555556,662
416,12,2,-63.79305556,48.47638889,663
416,12,3,-63.75972222,48.48055556,664
416,12,4,-63.75722222,48.43972222,665
416,12,5,-63.79166667,48.43722222,666
416,12,6,-63.82388889,48.43527778,667
416,12,7,-63.83527778,48.39111111,668
416,12,8,-63.79166667,48.39277778,669
416,12,9,-63.75611111,48.39361111,670
416,12,10,-63.78527778,48.35611111,671
416,13,1,-64.035,48.34055556,672
416,13,2,-64.0375,48.32083333,673
416,13,3,-63.98638889,48.32416667,674
416,13,4,-63.95305556,48.3225,675
416,13,5,-63.92111111,48.31138889,676
416,13,6,-63.92111111,48.34333333,677
416,13,7,-63.88638889,48.355,678
416,13,8,-63.88527778,48.31833333,679
416,13,9,-63.85722222,48.34055556,680
416,13,10,-63.82111111,48.34916667,681
416,14,1,-63.91972222,48.50972222,682
416,14,2,-63.95055556,48.51472222,683
416,14,3,-63.99388889,48.52333333,684
416,14,4,-63.99277778,48.47805556,685
416,14,5,-63.95305556,48.47888889,686
416,14,6,-63.92611111,48.47722222,687
416,14,7,-63.88777778,48.47555556,688
416,14,8,-63.85333333,48.47888889,689
416,14,9,-63.86861111,48.44305556,690
416,14,10,-63.93888889,48.44138889,691
416,15,1,-64.11694444,48.55833333,692
416,15,2,-64.08861111,48.56083333,693
416,15,3,-64.05027778,48.55888889,694
